country	year	gdp
Albania	2013	12.804
Albania	2014	13.219
Albania	2015	11.364
Albania	2016	11.868
Albania	2017	13.059
Albania	2018	15.059
Albania	2019	15.418
Albania	2020	14.034
Albania	2021	16.77
Albania	2022	17.942
Andorra	2013	3.283
Andorra	2014	3.355
Andorra	2015	2.813
Andorra	2016	2.879
Andorra	2017	3.021
Andorra	2018	3.238
Andorra	2019	3.155
Andorra	2020	2.864
Andorra	2021	3.213
Andorra	2022	3.4
Armenia	2013	11.121
Armenia	2014	11.61
Armenia	2015	10.553
Armenia	2016	10.546
Armenia	2017	11.527
Armenia	2018	12.433
Armenia	2019	13.444
Armenia	2020	12.813
Armenia	2021	13.612
Armenia	2022	21.347
Austria	2013	
Austria	2014	
Austria	2015	
Austria	2016	
Austria	2017	
Austria	2018	
Austria	2019	
Austria	2020	
Austria	2021	
Austria	2022	
Azerbaijan	2013	
Azerbaijan	2014	
Azerbaijan	2015	
Azerbaijan	2016	
Azerbaijan	2017	
Azerbaijan	2018	
Azerbaijan	2019	
Azerbaijan	2020	
Azerbaijan	2021	
Azerbaijan	2022	
Belarus	2013	
Belarus	2014	
Belarus	2015	
Belarus	2016	
Belarus	2017	
Belarus	2018	
Belarus	2019	
Belarus	2020	
Belarus	2021	
Belarus	2022	
Belgium	2013	
Belgium	2014	
Belgium	2015	
Belgium	2016	
Belgium	2017	
Belgium	2018	
Belgium	2019	
Belgium	2020	
Belgium	2021	
Belgium	2022	
Bosnia and Herzegovina	2013	
Bosnia and Herzegovina	2014	
Bosnia and Herzegovina	2015	
Bosnia and Herzegovina	2016	
Bosnia and Herzegovina	2017	
Bosnia and Herzegovina	2018	
Bosnia and Herzegovina	2019	
Bosnia and Herzegovina	2020	
Bosnia and Herzegovina	2021	
Bosnia and Herzegovina	2022	
Bulgaria	2013	
Bulgaria	2014	
Bulgaria	2015	
Bulgaria	2016	
Bulgaria	2017	
Bulgaria	2018	
Bulgaria	2019	
Bulgaria	2020	
Bulgaria	2021	
Bulgaria	2022	
Croatia	2013	
Croatia	2014	
Croatia	2015	
Croatia	2016	
Croatia	2017	
Croatia	2018	
Croatia	2019	
Croatia	2020	
Croatia	2021	
Croatia	2022	
Cyprus	2013	
Cyprus	2014	
Cyprus	2015	
Cyprus	2016	
Cyprus	2017	
Cyprus	2018	
Cyprus	2019	
Cyprus	2020	
Cyprus	2021	
Cyprus	2022	
Czech Republic	2013	
Czech Republic	2014	
Czech Republic	2015	
Czech Republic	2016	
Czech Republic	2017	
Czech Republic	2018	
Czech Republic	2019	
Czech Republic	2020	
Czech Republic	2021	
Czech Republic	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
	2013	
	2014	
	2015	
	2016	
	2017	
	2018	
	2019	
	2020	
	2021	
	2022	
